id,cassette_assy,web_type,web_length,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,padprint_smartcode_suffix,smart_cass_id,padprint_partnum,NightView_max_length,Standard_max_length,fg_desc_type,suspend_selection
Tensalarm 4way + sounder,55818-33S,STD,1,04837,Alarm,1,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,55490-000,20,,,9,,,,,
Tensalarm 4way max,52309-33S,MAX,2,08136,Alarmmax,1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,CAS,Tensalarm Max Cassette,std,,20,,,10,,3.45,,,
Tensalarm 4way max + sounder,52310-33S,MAX,2,08136,Alarmmax,1,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,CAS,Tensalarm Max Cassette,std,55490-000,20,,,11,,3.45,,,
Munich STD magnetic plain cassette,52302-000,STD,1,04837,Magnetic,1,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Cassette,std,,,,,12,,,,,
Munich STD magnetic Tensator pad printed cassette,56344-CONFIG,STD,1,04837,Magnetic,1,TRUE,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Cassette,std,,,,,51,,,,,
Schipol tensabarrier magnetic cassette,52303-000,STD,1,04837,Magnetic,1,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Schipol Magnetic Cassette,std,,,,,13,,,,,
Munich MAX magnetic plain cassette,52315-000,MAX,2,08136,Magnetic,1,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Max Cassette,std,,,,,14,,3.45,,,
Munich MAX magnetic Tensator pad printed cassette,56345-CONFIG,MAX,2,08136,Magnetic,1,TRUE,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Max Cassette,std,,,,,52,,3.45,,,
Schipol tensabarrier magnetic cassette max,52316-000,MAX,2,08136,Magnetic,1,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Schipol Magnetic Max Cassette,std,,,,,15,,3.45,,,
Dualline 4way,54014-000,STD,1,04837,Standard,1,TRUE,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,CASD,Dualline Standard Cassette,std,,,,,16,,,,,
Dualline Max 4way,54082-000,MAX,2,08136,Max,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,CASD,Dualline Max Cassette,std,,,,,17,,3.45,,,
Dualline end post,58578-33S,RCV,,,End Post,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CASD-RCV,Dualline Dummy Cassette,std,,,,,18,,,,,
Dualline Heavyduty 4way,59235-33S,STD,1,04837,Standard,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CASD-ZINC,Dualline HeavyDuty Standard Cassette,std,,,,,19,,,,,
Dualline Heavyduty Max 4way,50478-33S,MAX,2,08136,Max,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CASD-ZINC,Dualline HeavyDuty Max Cassette,std,,,,,20,,3.45,,,
Dualline Heavyduty end post,69235-33S,RCV,,,End Post,,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CASD-ZINC-RCV,Dualline HeavyDuty Dummy Cassette,std,,,,,21,,,,,
Dualline Magnetic Cassette Std,54175-AAB,STD,1,04837,Standard,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,CASD-MAG,Dualline Magnetic Standard Cassette,std,,,,,22,,,,,
Universal Heavyduty 4way,54017-000,HDY,1,04837,Standard,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,23,,,,,
Universal Heavyduty Max 4way,54532-000,MAX,2,08136,Max,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,24,,3.45,,,
4 Way Dummy Tensator Printed,54043-AAC,RCV,,,End Post,,TRUE,x,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,CAS-RCV,Dummy Cassette,std,,,,007,25,03466-007,,,,
4 Way Dummy Plain,54043-AAD,RCV,,,End Post,,,x,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,CAS-RCV,Dummy Cassette,std,,,,,26,,,,,
4 Way Zinc Dummy Plain,54048-000,RCV,,,End Post,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,CAS-ZINC-RCV,HeavyDuty Dummy Cassette,std,,,,,27,,,,,
Wide webbing 150mm Printed Tensator,54159-AAC,WDE,3,03893,Wide webbing 150mm,2,TRUE,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,CAS-PLUS,Plus Cassette,std,,,,007,28,03466-007,,,,
Wide Webbing 150mm dummy plain,54160-AAD,RCV,,,End Post,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CAS-PLUS-RCV,Plus Dummy Cassette,std,,,,,29,,,,,
Wide webbing 150mm plain,54159-AAD,WDE,3,03893,Wide webbing 150mm,2,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,CAS-PLUS,Plus Cassette,std,,,,,30,,,,,
Wide Webbing 150mm Dualline,54211-000,WDE,3,03893,Wide webbing 150mm,2,TRUE,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,CASD-PLUS,Plus Dualline Cassette,std,,,,,31,,,,,
Wide Webbing 150mm dummy Tensator printed,54160-AAC,RCV,,,End Post,,TRUE,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CAS-PLUS-RCV,Plus Dummy Cassette,std,,,,007,32,03466-007,,,,
Wide Webbing 150mm Dualline end post,52208-000,RCV,,,End Post,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CASD-PLUS-RCV,Plus Dualline Dummy Cassette,std,,,,,33,,,,,
Qmatic Standard Cassette,55161-AAA,STD,1,04837,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS,Qmatic Standard Cassette,std,,,,,34,,,,,
Qmatic Max Cassette,55162-AAA,MAX,4,08136,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS,Qmatic Max Cassette,std,,,,,35,,,,,
Qmatic Dummy Cassette,55163-AAA,RCV,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS-RCV,Qmatic Dummy Cassette,std,,,,,36,,,,,
Zinc Standard 4way,54017-000,STD,1,04837,,4,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,23,,,,,
Zinc Max 4way,54532-000,MAX,4,08136,,4,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,24,,3.45,,,
Wallmount Midi Interior,53737-000,STD,6,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,CAS-WM,Midi Interior,std,,,,,39,,,,,
Wallmount Maxi Interior,50061-000,STD,7,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,CAS-WM,Maxi Interior,std,,,,,40,,,,,
Qmatic No Cassette,,,,,No Cassette,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,0,,,,,
Wide Webbing Midi Interior,54102-000,STD,3,03893,Wide webbing 150mm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,CAS-PLUS-WM,Midi Plus Interior,std,,,,,41,,,,,
Munich Magnetic Dummy,55578-CONFIG,RCV,,,End Post,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,CAS-MAG-RCV,Munich Magnetic Dummy Cassette,std,,,,,42,,,,,
Munich Magnetic Dualline Max 4way,55580-CONFIG,MAX,2,08136,Max,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,CASD-MAG,Munich Max Dualline Cassette,std,,,,,43,,3.45,,,
Munich Magnetic Dualline Dummy,55579-CONFIG,RCV,,,End Post,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,CASD-MAG-RCV,Munich Magnetic Dualline Dummy Cassette,std,,,,,44,,,,,
Qmatic Magnetic Std,54173-000,STD,1,04837,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,5,,,,,
Tensabright 4 Way Std Plain,53577-AAB,STD,1,11513,Standard,7,,x,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,CAS,Tensabright Standard Cassette,std,,,,,1,,,,tensabright,
Tensabright 4 Way Std Printed,53577-AAA,STD,1,11513,Standard,7,TRUE,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CAS,Tensabright Standard Cassette,std,,,,007,2,03466-007,,,tensabright,
Tensabright Dualline 4way,54014-000,STD,1,11513,Standard,7,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CASD,Tensabright Dualline Cassette,std,,,,,16,,,,tensabright,
Tensabright Zinc 4 Way Std,54017-000,STD,1,11513,Standard,7,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,CAS-ZINC,Tensabright HeavyDuty Cassette,std,,,,,23,,,,tensabright,
Tensabright Dualline Zinc 4 Way,59235-33S,STD,1,11513,Standard,7,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,CASD-ZINC,Tensabright HeavyDuty Dualline Cassette,std,,,,,19,,,,tensabright,
Tensabright Orange Max Cassette 4 Way,53657-015,MAX,1,11513,Max,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,CAS-TOPPER,Tensabright Tensacone Max Cassette (Orange),std,,,,,37,,,,tensabright,
Munich Magnetic Dualline Std 4way,55942-CONFIG,STD,1,04837,Standard,1,TRUE,,x,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,CASD-MAG,Munich Std Dualline Cassette,std,,,,,45,,,,,
Qmatic Wallmount Maxi Interior,50061-000,STD,7,04837,Standard,3,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS-WM,Maxi Interior,std,,,,,40,,,,,
Plastic Spline Connectivity,56123-CONFIG,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,Plastic Spline Connectivity,,,,,,48,,,,,
Munich Magnetic Spline Connectivity,56156-CONFIG,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,Munich Magnetic Spline Connectivity,,,,,,49,,,,,
Tensabarrier Cassette with FZE Pad Print Top Cap,55812-AAF,STD,1,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,CAS,Tensabarrier Cassette with FZE Pad Print Top Cap,,,,00982-33S,,1,,,,,
Tensabarrier Cassette with FZE Pad Print Top Cap,55812-AAF,MAX,2,08136,Max,1,TRUE,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,CAS,Tensabarrier Cassette with FZE Pad Print Top Cap,,,,00982-33S,,2,,,,,
