id,cassette_assy,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,padprint_smartcode_suffix,smart_cass_id,deny_tencaplabel,topcap_included,NightView_max_length_m,Standard_max_length_m,fg_desc_type,suspend_selection
Qmatic cassette max,55162-AAA,MAX,4,,08136,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CAS,Qmatic Max Cassette,std,,,,,35,,TRUE,3.45,,,
Cassette factice Qmatic,55163-AAA,RCV,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CAS-RCV,Qmatic Dummy Cassette,std,,,,,36,,TRUE,,,,
Casette standard,54017-000,STD,1,,04837,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,23,,TRUE,,,,
Max 3 arrivee et 1 depart,54532-000,MAX,4,,08136,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,24,,TRUE,3.45,,,
Tensacone Orange max 3 arrivees et 1 depart,53657-015,MAX,5,,08136,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-TOPPER,Tensacone Max Cassette (Orange),std,,,,,37,,TRUE,3.45,,,
Tensacone orange cassette factice,54157-015,RCV,,,,End Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-TOPPER,Tensacone Dummy Cassette (Orange),std,,,,,38,,TRUE,,,,
Element mural Midi interieur,53737-000,STD,6,,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,CAS-WM,Midi Interior,std,,,,,39,,FALSE,,,,
Element mural maxi interieur,50061-000,STD,7,,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,CAS-WM,Maxi Interior,std,,,,,40,,FALSE,,,,
Qmatic sans cassette,,,,,,No Cassette,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,0,,TRUE,,,,
Extra large midi interieur,54102-000,STD,3,,03893,Wide webbing 150mm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,CAS-PLUS-WM,Midi Plus Interior,std,,,,,41,,FALSE,,,,
Magnetique Munich factice,55578-CONFIG,RCV,,,,End Post,,,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,x,,,,,,,,,,CAS-MAG-RCV,Munich Magnetic Dummy Cassette,std,,,,,42,,TRUE,,,,
Magnetique Munich Duol line max 4 arrivees,55580-CONFIG,MAX,2,,08136,Max,1,TRUE,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,CASD-MAG,Munich Max Dualline Cassette,std,,,,,43,,FALSE,3.45,,,
Magnetique Munich Duol line factice,55579-CONFIG,RCV,,,,End Post,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,CASD-MAG-RCV,Munich Magnetic Dualline Dummy Cassette,std,,,,,44,,FALSE,,,,
Qmatic magnetique standard,54173-000,STD,1,,04837,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,5,,TRUE,,,,
Tensabright 3 arrivees 1 depart sans etiquette,53577-AAB,STD,1,,11513,Standard,7,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,CAS,Tensabright Standard Cassette,std,,,,,1,,TRUE,,,tensabright,
Tensabright 3 arrivees 1 depart  etiquette imprimee,53577-AAA,STD,1,,11513,Standard,7,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CAS,Tensabright Standard Cassette,std,,,,7,2,,FALSE,,,tensabright,
Tensabright Duo line 3 arrivees 1 depart,54014-000,STD,1,,11513,Standard,7,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CASD,Tensabright Dualline Cassette,std,,,,,16,,FALSE,,,tensabright,
Tensabright 3 arrivees 1 depart etiquette standard,54017-000,STD,1,,11513,Standard,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,CAS-ZINC,Tensabright HeavyDuty Cassette,std,,,,,23,,TRUE,,,tensabright,
Tensabright Duo line zinc 3 arrivees 1 depart,59235-33S,STD,1,,11513,Standard,7,TRUE,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,CASD-ZINC,Tensabright HeavyDuty Dualline Cassette,std,,,,,19,,FALSE,,,tensabright,
Tensabright orange max 3 arrivees 1 depart,53657-015,MAX,1,,11513,Max,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-TOPPER,Tensabright Tensacone Max Cassette (Orange),std,,,,,37,,TRUE,,,tensabright,
Magnetique Munich Duo line standard 3 arrivees 1 depart,55942-CONFIG,STD,1,,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG,Munich Std Dualline Cassette,std,,,,,45,,FALSE,,,,
Ergot plastique,56123-CONFIG,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,Plastic Spline Connectivity,std,,,,,48,,TRUE,,,,
Ergot plastique magnetique type Munich,56156-CONFIG,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,Munich Magnetic Spline Connectivity,std,,,,,49,,TRUE,,,,
