id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,popular_post,stow_post,display_post,alarm_post,alarm_dual,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,qmpop_post,qmbuild_post,qmassy_post,utility887_post,safety888_post,slimline_890_build,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,qmaticheavydutybayonettwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,comment_string
Laque inoxydable brosse (LAC),LAC,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,Brushed Stainless Lacquer (LAC)
Jaune Ral1004 (35),35,,,,x,x,,,,x,x,x,,x,,x,x,x,,,,,,,,,x,x,,,,,,,,Yellow (35)
Bleu Ral5013 (23),23,,,,x,,,,,x,x,,,,,x,,,,,,,,,,,x,,,,,,,,,Blue (23)
Rouge Ral3002 (21),21,,,,x,x,,,,x,x,x,,,,x,x,x,,,,,,,x,,x,x,,,,,,,,Red (21)
Blanc Ral9010 (32),32,,,,x,x,,,,x,x,x,,,,,x,x,,,,,,,,,x,,,,,,,,,White (32)
Trafic Noir Matt Ral9017 (9017),9017,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traffic Black Matt Ral9017 (9017)
Bleu Ral5017 (5017),5017,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Ral5017 (5017)
Marine Brushed Stainless (316),316,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marine Brushed Stainless (316)
Vert Ral6028 (28),28,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Green Ral6028 (28)
Manteau en poudre noir en acier inoxydable (33SB),33SB,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless Steel Black Powder Coat (33SB)
Circulation Blanc Ral9016 (9016),9016,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traffic White Ral9016 (9016)
Bleu Ral5003 (5003),5003,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Ral5003 (5003)
Acier inoxydable peint gris Ral7021 (3B-7021),3B-7021,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless Painted Grey Ral7021 (3B-7021)
Wedgewood Blue Ral250 70 30 (250-70-30),250-70-30,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wedgewood Blue Ral250 70 30 (250-70-30)
Gris Ral7035 Matt (7035),7035,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey Ral7035 Matt (7035)
Vert special 09C24 (563),563,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Green 09C24 (563)
Acier inoxydable poli 316 Qualite Marine (316P),316P,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polished Stainless 316 Marine Grade (316P)
Noir (33),33,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Black (33)
Or Ral1036 (1036),1036,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Ral1036 (1036)
Lilas Ral4005 (4005),4005,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilac Ral4005 (4005)
Argent DB703 (DB703),DB703,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver DB703 (DB703)
Noir Gris Ral7021 (7021),7021,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Grey Ral7021 (7021)
Signal Noir Ral9004 (9004),9004,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signal Black Ral9004 (9004)
Gris Marron Ral8019 (8019),8019,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey Brown Ral8019 (8019)
Aer Lingus TLP-C609-S (AERL),AERL,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aer Lingus TLP-C609-S (AERL)
Gris Ral7044 (7044),7044,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey Ral7044 (7044)
Gris Granit Ral7026 (7026),7026,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granite Grey Ral7026 (7026)
Acier inoxydable brosse MK2 base (3BMK2),3BMK2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brushed Stainless Steel grit level 150 MK2 Base
Chrome poli MK2 base (1PMK2),1PMK2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polished Chrome MK2 Base
Satin Noir MK2 base (33SMK2),33SMK2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satin Black with MK2 Base
Silk Grey Ral7044 (7044),7044,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Polished Brass (2PMK2),2PMK2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
