id,colourcode,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_universal,cover_universal,base_basics,cover_basics,base_basicspop,cover_basicspop,base_magnetic,base_qmbasics,cover_qmbasics,base_qmuniversal,cover_qmuniversal,base_universal887,cover_universal887,base_universal888,cover_universal888,base_universalheavy,cover_universalheavy,base_basicsheavy,cover_basicsheavy,cover_magnetic,base_magneticlocated,cover_magneticlocated,comment_string,base_universalmk2,base_basicsmk2,base_universalheavymk2,base_basicsheavymk2,base_qmuniversalmk2,base_universal888mk2,cover_universalmk2,cover_basicsmk2,cover_universalheavymk2,cover_basicsheavymk2,cover_qmuniversalmk2,cover_universal888mk2
Brun Ral8040 (8040),8040,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brown Ral8040 (8040),,,,,,,,,,,,
Acier inoxydable brosse (3B),3B,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,Brushed Stainless Steel (3B),,,,,,,x,,x,,x,
Capri bleu Ral5019 (5019),5019,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Capri blue Ral5019 (5019),,,,,,,,,,,,
Gris anthracite (80),80,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,,x,Charcoal Grey (80),,,,,,,x,,x,,,
Cuivre Brun Ral8004 (8004),8004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copper Brown Ral8004 (8004),,,,,,,,,,,,
Cromadex Iridon M35 O31 (585),585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cromadex Iridon M35 O31 (585),,,,,,,,,,,,
Dove Gray (512),512,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Dove Grey (512),,,,,,,,,,,,
Gloss Noir (9005),9005,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Gloss Black (9005),,,,,,,,,,,,
Or martelle epoxy (EP 90031),EP90031,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Gold Expoxy Hammerite (EP90031),,,,,,,,,,,,
Vert Ral6028 (28),28,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Green Ral6028 (28),,,,,,,x,,x,,x,
Gris epol9927 (9927),9927,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey epol9927 (9927),,,,,,,,,,,,
Gris Ral7045 (7045),7045,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey Ral7045 (7045),,,,,,,,,,,,
Gris martelle (73),73,,,,,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,,x,Hammer Grey (73),,,,,,,x,,x,,x,
Gris martelle (Rollabase 073),073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammer Grey (Rollabase 073),,,,,,,,,,,,
Verre noir eleve Ral9005 (9005),9005,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,High glass black Ral9005 (9005),,,,,,,,,,,,
Vert clair Ral6018 (6018),6018,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Light green Ral6018 (6018),,,,,,,,,,,,
Gris fonce metallique Ral9007 (9007),9007,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Metalic Dark Grey Ral9007 (9007),,,,,,,,,,,,
Pas de base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Base,,,,,,,,,,,,
Pas de couverture de base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Base Cover,,,,,,,,,,,,
Non-marque (Gris),000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-branded (Grey),,,,,,,,,,,,
Ecrou brun Ral8011 (8011),8011,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Nut Brown Ral8011 (8011),,,,,,,,,,,,
Orange Ral2004 (2004),2004,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Orange Ral2004 (2004),,,,,,,,,,,,
Rose PMS233 (PMS233),PMS233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink PMS233 (PMS233),,,,,,,,,,,,
Chrome poli (1P),1P,,,,x,,,,,,x,,,,,,,,,x,,,,,,x,,,x,,x,Polished Chrome (1P),,,,,,,x,,x,,x,
Acier poli (3P),3P,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Polished Stainless (3P),,,,,,,x,,x,,x,
Pourpre Ral4007 (4007),4007,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Purple Ral4007 (4007),,,,,,,,,,,,
Brut (000),000,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Raw (000),,,,,,,,,,,,
Rouge Ral3002 (21),21,,,,,,,,,,x,,x,,x,,,,,x,,,,,,x,,x,,,,Red Ral3002 (21),,,,,,,x,,x,,x,
Rouge Ral3020 (3020),3020,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Red Ral3020 (3020),,,,,,,,,,,,
Vin Rouge Ral3005 (3005),3005,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Red Wine Ral3005 (3005),,,,,,,,,,,,
Rouge rubis Ral3003 (3003),3003,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Ruby Red Ral3003 (3003),,,,,,,,,,,,
Chrome satine (1S),1S,,,,x,,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,Satin Chrome (1S),x,,,,,,,,,,,
Acier satine (3S),3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satin Stainless (3S),,,,,,,,,,,,
Argent FW104E (91),91,,,,x,,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,Silver  FW104E (91),,,,,,,,,,,,
Argent Ral9006 (9006),9006,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,Silver Ral9006 (9006),,,,,,,x,,x,,x,
Veine d argent (SV),SV,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Silver Vein (SV),,,,,,,,,,,,
Gris ardoise Ral7015 (7015),7015,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Slate Grey Ral7015 (7015),,,,,,,,,,,,
Acier inoxydable (3B),3B,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless steel (3B),,,,,,,,,,,,
Bleu turc Ral5018 (5018),5018,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Turkish Blue Ral5018 (5018),,,,,,,,,,,,
Ombre Gris Ral7022 (7022),7022,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Umbra Grey Ral7022 (7022),,,,,,,x,,x,,,
Blanc Ral9010 (32),32,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,,x,White  Ral9010 (32),,,,,,,x,,x,,x,
Blanc Ral9003 (9003),9003,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,White Ral9003 (9003),,,,,,,x,,x,,x,
Fenetre Gris Ral7040 (7040),7040,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Window Grey Ral7040 (7040),,,,,,,,,,,,
Jaune Ral1004 (35),35,,,,x,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,Yellow Ral1004 (35),,,,,,,x,,x,,x,
Blanc Ral9001 (9001),9001,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,White Ral9001 (9001),,,,,,,,,,,,
Chrome Argent (586),586,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Chrome Silver (586),,,,,,,,,,,,
Pantone 425c (425C),425C,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Pantone 425c (425C),,,,,,,,,,,,
Gris Ral7036 (7036),7036,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey Ral7036 (7036),,,,,,,,,,,,
Gris Ral7039 (7039),7039,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey Ral7039 (7039),,,,,,,,,,,,
Fourni,000,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,As Supplied,,,,,,,,,,,,
Laque inoxydable brosse (LAC),LAC,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brushed Stainless Lacquer (LAC),,,,,,,,,,,,
Trafic Noir Matt Ral9017 (9017),9017,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Traffic Black Matt Ral9017 (9017),,,,,,,,,,,,
Magnetique,AAA,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,Magnetic Standard,,,,,,,,,,,,
Bleu Ral5013 (23),23,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,Blue Ral5013 (23),,,,,,,x,,x,,x,
Gris clair (012),012,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light Grey (012),,,,,,,,,,,,
Manteau en poudre noir en acier inoxydable (33SB),33SB,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Stainless Steel Black Powder Coat (33SB),,,,,,,,,,,,
Circulation Blanc Ral9016 (9016),9016,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Traffic White Ral9016 (9016),,,,,,,,,,,,
Anthracite Ral7016 (7016),7016,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,Anthracite Ral7016 (7016),,,,,,,,,,,,
Bleu Ral5003 (5003),5003,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Blue Ral5003 (5003),,,,,,,,,,,,
Acier inoxydable peint gris Ral7021 (3B-7021),3B-7021,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Stainless Painted Grey Ral7021 (3B-7021),,,,,,,,,,,,
Gris Ral7035 Matt (7035),7035,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey Ral7035 Matt (7035),,,,,,,,,,,,
Vert special 09C24 (563),563,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Special Green 09C24 (563),,,,,,,,,,,,
Matt Black (33),33,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Matt Black (33),,,,,,,,,,,,
Or Ral1036 (1036),1036,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Gold Ral1036 (1036),,,,,,,,,,,,
Lilas Ral4005 (4005),4005,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Lilac Ral4005 (4005),,,,,,,,,,,,
Argent DB703 (DB703),DB703,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,Silver DB703 (DB703),,,,,,,,,,,,
Noir Gris Ral7021 (7021),7021,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Black Grey Ral7021 (7021),,,,,,,,,,,,
Signal Noir Ral9004 (9004),9004,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Signal Black Ral9004 (9004),,,,,,,,,,,,
Gris Marron Ral8019 (8019),8019,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Grey Brown Ral8019 (8019),,,,,,,,,,,,
Toutes les heures (AW),AW,,,,,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,All Weather (AW),,,,,,,,,,,,
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Aer Lingus TLP-C609-S (AERL),,,,,,,,,,,,
Gris Ral7044 (7044),7044,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,Grey Ral7044 (7044),,,,,,,,,,,,
Acier inoxydable poli 316 Qualite Marine (316P),316P,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Acier inoxydable poli 316 Qualite Marine (316P),,,,,,,,,,,,
Gris Granit Ral7026 (7026),7026,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Granite Grey Ral7026 (7026),,,,,,,,,,,,
Laiton Poli (2P),2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laiton Poli (2P),,,,,,,x,,,,,
