id,part_prefix,part_num_complete,partnum_overrideqty,fg_num,7x11-Q-V-S,7x11-E-V-S,8.5x11-Q-V-S,8.5x11-E-V-S,11x14-Q-V-S,11x14-E-V-S,14x22-Q-V-S,14x22-E-V-S,22x28-Q-V-S,22x28-E-V-S,7x11-Q-H-S,7x11-Q-V-D,7x11-Q-H-D,7x11-E-H-S,7x11-E-V-D,7x11-E-H-D,8.5x11-Q-H-S,8.5x11-Q-V-D,8.5x11-Q-H-D,8.5x11-E-H-S,8.5x11-E-V-D,8.5x11-E-H-D,11x14-Q-H-S,11x14-Q-V-D,11x14-Q-H-D,11x14-E-H-S,11x14-E-V-D,11x14-E-H-D,14x22-Q-H-S,14x22-Q-V-D,14x22-Q-H-D,14x22-E-H-S,14x22-E-V-D,14x22-E-H-D,22x28-Q-H-S,22x28-Q-V-D,22x28-Q-H-D,22x28-E-H-S,22x28-E-V-D,22x28-E-H-D,7x11,8.5x11,11x14,14x22,22x28
Blue (23) Acrylic Pre-Printed Sign (7x11x1/8),900057-,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (7x11x1/8),900060-,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (7x11x1/8),,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (8.5x11x1/4),900589-,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (8.5x11x1/4),900590-,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (8.5x11x1/4),900594-,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (8.5x11x1/4),900591-,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (8.5x11x1/4),900592-,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (8.5x11x1/4),,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (8.5x11x1/4),,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (8.5x11x1/4),,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (8.5x11x1/4),,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (8.5x11x1/8),900581-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (8.5x11x1/8),900582-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (8.5x11x1/8),900583-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (8.5x11x1/8),900587-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (8.5x11x1/8),900585-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (8.5x11x1/8),900584-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (8.5x11x1/8),900588-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (8.5x11x1/8),900586-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (8.5x11x1/8),900580-,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (11x14x1/4),900086-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (11x14x1/4),900087-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (11x14x1/4),900088-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (11x14x1/4),900092-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (11x14x1/4),900090-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (11x14x1/4),900089-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (11x14x1/4),900093-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (11x14x1/4),900091-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (11x14x1/4),900085-,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (11x14x1/8),900101-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (11x14x1/8),900102-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (11x14x1/8),900103-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (11x14x1/8),900107-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (11x14x1/8),900105-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (11x14x1/8),900104-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (11x14x1/8),900108-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (11x14x1/8),900106-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (11x14x1/8),900100-,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (14x22x1/4),900032-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (14x22x1/4),900033-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (14x22x1/4),900034-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (14x22x1/4),900038-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (14x22x1/4),900036-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (14x22x1/4),900035-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (14x22x1/4),900039-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (14x22x1/4),900037-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (14x22x1/4),900031-,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (14x22x1/8),900251-,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (14x22x1/8),,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (22x28x1/4),900042-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (22x28x1/4),900043-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (22x28x1/4),900044-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (22x28x1/4),900048-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (22x28x1/4),900046-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (22x28x1/4),900045-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (22x28x1/4),900049-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (22x28x1/4),900047-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (22x28x1/4),900041-,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (22x28x1/8),900256-,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (22x28x1/8),,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7x11 Clear Protective Insert,,900230,2,Clear Protective Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
8.5x11 Clear Protective Insert,,900235,2,Clear Protective Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
11x14 Clear Protective Insert,,900245,2,Clear Protective Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
14x22 Clear Protective Insert,,900250,2,Clear Protective Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
22x28 Clear Protective Insert,,900255,2,Clear Protective Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
