id,cass_assy,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,addpart2_partnum,addpart2_qty,addpart2bom,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,fg_desc_type,padprint_smartcode_suffix,smart_cass_id,NightView_max_length,Standard_max_length,ThickPick_max_length,oper_code,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,889T2_dualcassupcharge,suspend_selection
Dualline Magnetic Cassette Std,54175-AAB,STD,1,,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG,Dualline Magnetic Standard Cassette,std,,,,,,22,7.80,8.20,8.20,TBCBuild,,,,,,,
Universal Zinc 4way Printed,54017-000,STD,1,,04837,Standard,1,,03466,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,,23,7.80,8.20,8.20,TBCBuild,,,,,,,
Universal Zinc Max 4way Printed,54532-000,MAX,2,,08136,Max,1,,03466,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,,24,11.32,13.45,13.45,TBCBuild,,,,,,,
4 Way Dummy Tensator Printed,54043-AAC,RCV,,,,End Post,,,03466,,,,x,,x,x,,x,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,ADV144X,Dummy Cassette,std,,,,,007,25,,,,TBCBuild,,,,,,,
4 Way Dummy Plain,54043-AAD,RCV,,,,End Post,,,03466,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,ADV144X,Dummy Cassette,std,,,,,,26,,,,TBCBuild,,,,,,,
4 Way Zinc Dummy Plain,54048-AAA,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC-RCV,HeavyDuty Dummy Cassette,std,,,,,,27,,,,TBCBuild,,,,,,,
Wide webbing 150mm Printed Tensator,54159-AAC,WDE,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,ADW144,Plus Cassette,std,,,,,007,28,,7.51,7.51,TBCBuild,,,,,,,
Wide Webbing 150mm dummy plain,54160-AAD,RCV,,,,End Post,,,03466,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,ADW144X,Plus Dummy Cassette,std,,,,,,29,,,,TBCBuild,,,,,,,
Wide webbing 150mm plain,54159-AAD,WDE,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADW144,Plus Cassette,std,,,,,,30,,7.51,7.51,TBCBuild,,,,,,,
Wide Webbing 150mm Dualline,54211-000,WDE,3,,03893,Wide webbing 150mm,2,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-PLUS,Plus Dualline Cassette,std,,,,,,31,,7.51,7.51,TBCBuild,,,,,,,
Wide Webbing 150mm dummy Tensator printed,54160-AAC,RCV,,,,End Post,,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS-RCV,Plus Dummy Cassette,std,,,,,007,32,,,,TBCBuild,,,,,,,
Wide Webbing 150mm Dualline end post,52208-000,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-PLUS-RCV,Plus Dualline Dummy Cassette,std,,,,,,33,,,,TBCBuild,,,,,,,
Zinc Standard 4way,54017-000,STD,1,,04837,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,,23,7.80,8.20,8.20,TBCBuild,,,,,,,
Zinc Max 4way,54532-000,MAX,4,,08136,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,,24,11.32,13.45,13.45,TBCBuild,,,,,,,
Tensacone Orange Max Cassette 4 Way,53657-015,MAX,5,,08136,,5,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-TOPPER,Tensacone Max Cassette (Orange),std,,,,,,37,11.32,13.45,13.45,TBCBuild,,,,,,,
Tensacone Orange Dummy,54157-015,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-TOPPER,Tensacone Dummy Cassette (Orange),std,,,,,,38,,,,TBCBuild,,,,,,,
Wallmount Midi Interior,53737-000,STD,6,,04837,Standard,1,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,CAS-WM,Midi Interior,std,,,,,,39,,,,TBCBuild,,,,,,,
Wallmount Maxi Interior,50061-AAA,STD,7,,04837,Standard,1,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,CAS-WM,Maxi Interior,std,,,,,,40,,,,TBCBuild,,,,,,,
Wide Webbing Midi Interior,54102-000,STD,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS-WM,Midi Plus Interior,std,,,,,,41,,,,TBCBuild,,,,,,,
Munich Magnetic Dummy,55578-CONFIG,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG-RCV,Munich Magnetic Dummy Cassette,std,,,,,,42,,,,TBCBuild,,,,,,,
Munich Magnetic Dualline Max 4way,55580-CONFIG,MAX,2,,08136,Max,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG,Munich Max Dualline Cassette,std,,,,,,43,11.32,13.45,13.45,TBCBuild,,,,,,,
Munich Magnetic Dualline Dummy,55579-CONFIG,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG-RCV,Munich Magnetic Dualline Dummy Cassette,std,,,,,,44,,,,TBCBuild,,,,,,,
Munich Magnetic Dualline Std 4way,55942-CONFIG,STD,1,,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG,Munich Std Dualline Cassette,std,,,,,,45,,,,TBCBuild,,,,,,,
Plastic Spline Connectivity,56123-CONFIG,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Plastic Spline Connectivity,,,,,,,48,,,,TBCBuild,,,,,,,
Munich Magnetic Spline Connectivity,56156-CONFIG,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Munich Magnetic Spline Connectivity,,,,,,,49,,,,TBCBuild,,,,,,,
